Area,Bedrooms,Bathrooms,Stories,Parking,Age,City,Furnishing,Main Road,Guest Room,Basement,Water Supply,Air Conditioning,Preferred Tenant,Locality Rating,Price
1260,4,3,2,1,24,Pune,Semi-Furnished,Yes,Yes,Yes,Both,No,Company,4,1274350
5790,2,1,1,1,7,Kolkata,Unfurnished,Yes,Yes,Yes,Both,Yes,Bachelor,5,1094846
5626,5,2,3,0,15,Chennai,Semi-Furnished,No,Yes,Yes,Corporation,Yes,Company,6,1495933
5591,1,1,1,1,47,Delhi,Furnished,Yes,No,Yes,Borewell,No,Company,3,1003442
4172,5,1,1,1,44,Delhi,Unfurnished,No,No,No,Borewell,Yes,Bachelor,1,1306676
3492,5,1,3,1,14,Mumbai,Furnished,No,Yes,Yes,Borewell,No,Family,4,1760917
866,2,2,3,1,0,Hyderabad,Semi-Furnished,No,Yes,Yes,Borewell,No,Bachelor,6,1127735
5734,1,1,3,2,21,Mumbai,Semi-Furnished,Yes,No,Yes,Borewell,Yes,Company,2,1097568
4826,2,2,2,1,2,Chennai,Furnished,No,No,Yes,Borewell,No,Family,2,911995
5978,3,3,3,1,37,Chennai,Semi-Furnished,No,No,Yes,Both,No,Bachelor,1,1539430
3844,2,1,3,0,13,Mumbai,Furnished,Yes,Yes,No,Corporation,Yes,Family,9,1051698
3571,2,2,3,2,35,Hyderabad,Semi-Furnished,Yes,No,Yes,Corporation,No,Family,3,1140669
3319,2,2,1,0,17,Pune,Semi-Furnished,No,Yes,No,Borewell,Yes,Company,2,919993
530,1,1,1,0,46,Mumbai,Unfurnished,No,Yes,Yes,Both,Yes,Bachelor,4,522381
2085,2,3,2,0,40,Chennai,Furnished,Yes,No,Yes,Both,No,Company,6,1100470
1169,1,2,1,2,17,Hyderabad,Semi-Furnished,No,No,No,Borewell,Yes,Bachelor,1,785362
2791,4,1,2,0,2,Chennai,Furnished,No,No,Yes,Corporation,No,Bachelor,9,902155
2833,3,3,1,0,9,Hyderabad,Unfurnished,No,Yes,Yes,Borewell,Yes,Bachelor,9,1248678
5711,1,2,3,0,48,Hyderabad,Furnished,Yes,No,No,Both,No,Family,8,836223
5451,4,2,1,1,38,Mumbai,Unfurnished,No,No,Yes,Borewell,No,Family,6,1349892
1584,1,3,2,0,46,Mumbai,Furnished,Yes,Yes,No,Corporation,Yes,Company,4,932771
4955,1,3,1,2,0,Mumbai,Furnished,Yes,No,No,Corporation,Yes,Bachelor,2,923744
3785,3,1,3,2,26,Hyderabad,Unfurnished,Yes,No,No,Both,No,Bachelor,8,1105969
4517,5,1,2,1,26,Hyderabad,Semi-Furnished,No,Yes,Yes,Borewell,No,Family,7,1386508
5243,5,2,3,2,10,Chennai,Semi-Furnished,Yes,Yes,Yes,Borewell,Yes,Bachelor,4,2048184
3304,1,3,3,2,48,Delhi,Semi-Furnished,No,Yes,No,Both,No,Company,3,1125735
874,2,3,2,1,4,Mumbai,Furnished,Yes,Yes,Yes,Borewell,No,Bachelor,6,1258106
1482,4,3,3,0,6,Kolkata,Furnished,No,Yes,No,Both,Yes,Bachelor,1,1577103
2958,2,2,3,1,18,Chennai,Semi-Furnished,No,No,Yes,Borewell,Yes,Family,2,1126058
2447,2,3,1,0,28,Chennai,Furnished,No,No,No,Corporation,No,Bachelor,7,1097948
3147,1,3,3,0,14,Bangalore,Furnished,Yes,Yes,Yes,Both,Yes,Company,3,1360399
1375,1,2,3,2,34,Mumbai,Semi-Furnished,No,No,No,Borewell,Yes,Company,1,718529
2206,1,1,3,1,46,Pune,Unfurnished,No,No,Yes,Borewell,No,Company,2,884307
589,1,1,3,2,36,Chennai,Furnished,Yes,Yes,No,Borewell,Yes,Company,10,918294
3134,5,2,2,2,11,Bangalore,Furnished,Yes,Yes,Yes,Both,Yes,Family,10,1989144
3405,1,3,1,0,29,Kolkata,Furnished,No,Yes,No,Corporation,No,Bachelor,9,793239
5058,5,2,3,2,19,Kolkata,Furnished,Yes,No,Yes,Borewell,Yes,Family,7,2005165
2299,5,1,3,1,36,Pune,Unfurnished,Yes,Yes,Yes,Both,No,Company,7,1653227
1667,1,1,2,2,2,Mumbai,Semi-Furnished,Yes,No,No,Borewell,Yes,Bachelor,10,1005073
1928,3,2,3,2,8,Hyderabad,Furnished,No,No,Yes,Corporation,Yes,Family,8,1435226
3602,4,2,2,0,40,Bangalore,Semi-Furnished,Yes,No,Yes,Corporation,No,Bachelor,8,1397685
3956,2,1,1,1,38,Hyderabad,Furnished,No,No,Yes,Corporation,Yes,Company,9,1080950
4290,5,2,1,2,25,Kolkata,Unfurnished,Yes,Yes,Yes,Both,Yes,Company,2,1782641
1046,4,1,3,0,1,Kolkata,Semi-Furnished,Yes,No,No,Borewell,Yes,Bachelor,8,1290088
3288,3,2,3,2,22,Delhi,Unfurnished,No,Yes,Yes,Both,Yes,Bachelor,8,1396254
5793,2,2,3,1,22,Delhi,Furnished,Yes,No,Yes,Borewell,Yes,Company,5,1403537
2835,2,2,2,2,20,Pune,Unfurnished,Yes,Yes,No,Both,Yes,Family,5,1030157
1000,5,1,3,2,15,Delhi,Unfurnished,Yes,Yes,Yes,Borewell,No,Company,4,1243336
2763,1,2,3,0,8,Delhi,Furnished,Yes,Yes,No,Both,Yes,Bachelor,5,1101178
2461,3,1,1,2,12,Pune,Furnished,No,No,Yes,Borewell,Yes,Family,2,1056514
641,5,1,3,0,27,Chennai,Semi-Furnished,No,No,No,Both,No,Company,2,949233
2441,3,2,1,1,26,Delhi,Furnished,No,No,Yes,Corporation,No,Bachelor,5,1402286
3224,1,2,3,2,16,Chennai,Semi-Furnished,No,Yes,No,Both,No,Bachelor,3,894925
3012,1,1,1,1,37,Chennai,Unfurnished,No,No,No,Corporation,Yes,Bachelor,1,627214
1763,5,1,3,1,35,Mumbai,Unfurnished,No,No,No,Corporation,No,Family,9,1322158
5886,1,3,1,2,0,Chennai,Semi-Furnished,No,No,Yes,Borewell,No,Family,2,1217676
